1769;1195
1011;4790
1759;3503
1234;1590
1520;2173
1850;4113
1165;3097
1539;1921
1643;3679
1517;4336
1499;1950
1203;607
1029;4752
1697;1955
1611;3015
1683;1339
1907;1739
1417;3580
1600;1689
1122;3607
1544;2227
1701;1469
1310;1513
1202;737
1468;4625
1253;377
1725;712
1676;543
1116;4427
1005;4286
1015;3666
1856;3864
1648;2755
1149;4517
1499;3003
1246;1509
1577;718
1940;83
1218;28
1738;4778
1031;630
1232;105
1232;4846
1412;3843
1898;560
1638;3769
1724;1339
1971;3619
1056;4463
1107;3418
1484;1059
1280;3470
1411;3076
1508;949
1971;3888
1449;4078
1974;3372
1203;2125
1839;3628
1691;3917
1200;4956
1849;2287
1928;1100
1189;4629
1247;4835
1578;1467
1361;975
1911;4131
1632;345
1017;1173
1013;4813
1268;3334
1124;907
1949;2910
1302;4289
1723;865
1795;2041
1381;3250
1002;4657
1322;3559
1035;1685
1750;1644
1830;821
1013;4109
1397;2763
1430;4825
1752;506
1966;4636
1516;3620
1011;4744
1288;3083
1303;2567
1445;224
1821;4237
1991;3891
1882;349
1581;3072
1225;4332
1341;486
1328;597
1360;2508
1787;4360
1298;769
1647;4672
1416;322
1740;3164
1021;3134
1689;3733
1198;386
1276;4161
1412;4566
1929;4432
1017;285
1922;4372
1579;3086
1310;1554
1547;4318
1536;176
1368;3969
1069;101
1647;1559
1123;2385
1583;881
1672;2977
1078;4949
1970;3169
1662;1435
1587;1099
1954;80
1095;4332
1930;3615
1924;2957
1961;1038
1162;389
1764;4220
1910;3566
1097;879
1682;3759
1260;3157
1857;570
1223;4208
1640;212
1172;2351
1846;1267
1788;4844
1997;1522
1355;1317
1854;2432
1487;1501
1060;1069
1144;3295
1545;1821
1590;1443
1588;4014
1894;3980
1074;4204
1941;2644
1922;594
1332;2802
1326;4679
1915;2129
1500;2689
1098;607
1414;3050
1237;3622
1360;4972
1414;2870
1275;2197
1986;3279
1938;3148
1408;4723
1113;3632
1149;667
1838;2219
1489;2176
1673;2903
1936;1132
1786;4775
1703;1836
1033;3625
1501;1667
1513;1256
1619;1992
1127;1904
1574;1733
1244;1661
1676;3010
1178;2779
1515;1450
1838;2954
1188;1428
1870;1774
1316;1102
1995;3092
1909;1069
1010;3692
1329;3405
1815;1605
1757;288
1617;4872
1638;622
1241;1574
1086;2459
1779;338
1586;3038
1056;4550
1444;2438
1627;2640
1878;4985
1869;4821
1196;1375
1796;540
1680;1117
1599;3438
1700;2512
1215;881
1082;4248
1884;4559
1650;3322
1494;3658
1174;200
1172;1318
1427;3442
1992;293
1640;2030
1397;3545
1125;264
1548;562
1784;549
1710;807
1244;4950
1076;1461
1396;4249
1633;110
1966;4039
1693;3737
1971;1262
1770;4678
1792;3068
1402;4829
1986;423
1110;3831
1483;39
1282;4189
1731;1832
1210;3992
1421;234
1398;3268
1109;294
1867;2664
1474;2393
1337;688
1659;1158
1962;328
1999;91
1812;1668
1662;4618
1058;1286
1061;977
1759;1580
1842;3967
1610;1853
1735;2660
1032;1746
1574;1606
1765;1428
1670;4799
1311;3866
1772;3513
1260;2868
1360;476
1767;2780
1155;4299
1443;3616
1548;4212
1601;2065
1521;2230
1356;3073
1911;1996
1257;893
1128;4846
1944;650
1656;1709
1597;776
1631;3958
1704;3789
1430;2994
1753;1561
1978;2676
1262;1352
1600;999
1426;4487
1730;1632
1721;768
1801;3483
1540;2055
1657;4078
1917;2365
1164;783
1203;71
1907;2479
1712;79
1520;1915
1151;728
1970;1593
1791;3691
1213;167
1588;1165
1383;2094
1326;1193
